Eternal Weekend 2024 Legacy Champs (2024-11-23)
+---------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                      | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Mono-Red Tempo            |      0.09% |          1 |     644.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       40.74% |          42.86% |          42.86% |
| Mono-White Initiative     |      0.09% |          1 |     827.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       47.32% |          50.00% |          50.00% |
| NBC Doomsday              |      0.09% |          1 |     492.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       49.18% |          57.14% |          57.14% |
| Naya Aggro                |      0.09% |          1 |     988.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       46.84% |          25.00% |          25.00% |
| Naya Lands                |      0.09% |          1 |    1023.00 |    1 |      7 |     0 | 12.50% |                     2.24% |                    47.09% |       45.89% |          12.50% |          12.50% |
| Naya Miracles             |      0.09% |          1 |    1125.00 |    0 |      4 |     0 |  0.00% |                     0.00% |                    48.99% |       48.14% |           0.00% |           0.00% |
| Orzhov Initiative         |      0.09% |          1 |     891.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       49.57% |          25.00% |          25.00% |
| Rakdos Aggro              |      0.09% |          1 |     170.00 |    7 |      4 |     0 | 63.64% |                    35.38% |                    84.83% |       53.51% |          63.64% |          63.64% |
| Rakdos Burn               |      0.09% |          1 |     995.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       48.83% |          25.00% |          25.00% |
| Rogue Decklists           |      0.09% |          1 |     534.00 |    3 |      3 |     2 | 50.00% |                    18.76% |                    81.24% |       50.04% |          50.00% |          50.00% |
| Selesnya Tempo            |      0.09% |          1 |      83.00 |    8 |      3 |     0 | 72.73% |                    43.44% |                    90.25% |       58.74% |          72.73% |          72.73% |
| Simic Lands               |      0.09% |          1 |     664.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       50.52% |          50.00% |          50.00% |
| Simic Tempo               |      0.09% |          1 |     887.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       41.08% |          25.00% |          25.00% |
| Sultai Hogaak             |      0.09% |          1 |     713.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       43.25% |          40.00% |          40.00% |
| Sultai Merfolk            |      0.09% |          1 |     456.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       53.72% |          57.14% |          57.14% |
| Sultai Midrange           |      0.09% |          1 |     213.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       59.35% |          66.67% |          66.67% |
| Temur Lands               |      0.09% |          1 |     394.00 |    4 |      3 |     2 | 55.56% |                    25.05% |                    84.18% |       56.67% |          55.56% |          55.56% |
| Temur Rhinos              |      0.09% |          1 |      15.00 |    9 |      2 |     0 | 81.82% |                    52.30% |                    94.86% |       60.61% |          81.82% |          81.82% |
| Tin Fins                  |      0.09% |          1 |     479.00 |    4 |      4 |     0 | 50.00% |                    21.52% |                    78.48% |       43.90% |          50.00% |          50.00% |
