Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Buffalo Chicken Dip Legacy 15 (2024-10-19), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), Bazaar of Boxes 13 (2024-11-09), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Madness                        |      0.06% |          1 |     329.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       39.82% |           0.00% |           0.00% |
| Manaless Dredge                |      0.06% |          1 |     200.00 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       35.89% |          22.22% |          22.22% |
| Orzhov Vial                    |      0.06% |          1 |      50.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       52.48% |          66.67% |          66.67% |
| Other Spell Combo              |      0.06% |          1 |      14.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       37.89% |          71.43% |          54.76% |
| Paradoxical Outcome            |      0.06% |          1 |      13.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       36.75% |          50.00% |          41.67% |
| RUG Cascade                    |      0.06% |          1 |      10.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       55.54% |          71.43% |          69.39% |
| RUG Delver                     |      0.06% |          1 |     178.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       49.72% |          50.00% |          50.00% |
| RUG Midrange-Control           |      0.06% |          1 |     176.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       49.41% |          25.00% |          25.00% |
| Yorion Zenith                  |      0.06% |          1 |      47.00 |    3 |      2 |     0 | 60.00% |                    23.07% |                    88.24% |       49.15% |          60.00% |          66.67% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
