Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
European Legacy Masters 2024 (2024-09-07), Legacy Challenge 32 2024-09-08 (2024-09-08), Legacy Challenge 32 2024-09-15 (2024-09-15), Legacy Challenge 32 2024-09-29 (2024-09-29), Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Death and Taxes (60 Card)      |      0.06% |          1 |     332.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       48.24% |           0.00% |           0.00% |
| Death's Shadow                 |      0.06% |          1 |      91.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       39.99% |          25.00% |          33.33% |
| Madness                        |      0.06% |          1 |     329.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       39.50% |           0.00% |           0.00% |
| Manaless Dredge                |      0.06% |          1 |     200.00 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       35.04% |          22.22% |          22.22% |
| Orzhov Vial                    |      0.06% |          1 |      50.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       53.23% |          66.67% |          66.67% |
| RUG Delver                     |      0.06% |          1 |     178.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       50.21% |          50.00% |          50.00% |
| RUG Midrange-Control           |      0.06% |          1 |     176.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       48.92% |          25.00% |          25.00% |
| Stryfo Pile                    |      0.06% |          1 |      76.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       41.53% |          28.57% |          28.57% |
| Thought Lash Combo             |      0.06% |          1 |      32.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       45.53% |          71.43% |          66.19% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
