Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15	
Paul Raynes	Bant Nadu Cradle Combo	Michael Colonel	2-1	Donger	2-0	Sean Kelloff	2-0	Tyler Hawk	2-1	Jeffrey Zhang	2-1	Tad Gibson	2-1	matthieu dupuy	2-1	Shadowuni	2-0	Jon Barber	2-0	Johan Larsson	1-2	Hans Jacob Goddik	2-1	Roland Chang	0-2	Steven Borakove	0-2	Max Gilmore	1-2	Tom Hertfelder	1-2
Dan Atkins	Esper (Yorion)	arlin bonfiglio	2-1	Jon Nickerson	2-0	Stefan Vastek	2-0	MarkDriscoll	2-1	Sam Lowe	2-0	Johan Larsson	1-2	BoshNRoll_Brian	2-1	matthieu dupuy	0-2	Ronald Norton	2-1	Brennan Creasap	2-0	Jessy Hefner	2-0	Clair Bigelow	2-0	Tom Basketball	0-2	Tony Morris	1-2	Sam Higgins	1-2
Jay Wojciechowski	Bant Nadu Midrange Combo		Bye	Alex Yatsenko	2-1	Julian John	2-0	Ross Krueger	2-0	Tom Hertfelder	2-0	Ramy Mansour	0-2	Ken Ryan	2-0	Yackobo1421	2-0	matthieu dupuy	1-2	LastClaireBender	0-2	Jacob Gertz	2-1	Aaron Smith	2-0	Boston Schatteman	0-2	James Hickle	0-2	Camari Bolger	2-0
Spencer Asral	W-U-B-G Cephalid Breakfast	john mccarty	2-1	TimBartlett	2-0	Eric Farmer	2-1	Ken Ryan	2-1	matthieu dupuy	0-2	Steven Borakove	2-1	Francis Perak	2-1	Owen Schading	2-0	Michael Puchkov	1-2	Patrick Green	2-0	dukevitro	0-2	Eric Hadam	0-2	Michael Weaver	1-2	David Barentsen	2-1	Ben Hewitt	2-1
Jaeden Woltjer	W-U-B-G Cephalid Breakfast	David Srygley	2-1	Matthew Ivans	2-1	Alvin Gillo	2-1	Nam Dang	2-1	Boston Schatteman	2-0	Hans Jacob Goddik	2-0	Johan Larsson	1-2	Camari Bolger	1-2	Justin 'IamActuallyLvL1' Gennari	2-1	Steven Borakove	0-2	Trevor Sharp	1-2	Oliver Higgins	2-0	Niklas Holtmann	2-1	Samantha Murphy	0-2	Ramy Mansour	2-0
Jesse Campbell	Mono-Red Stompy	Patrick Greenfield	2-0	Trevor Sharp	2-0	varelandrew	2-0	PatrickVincent	1-2	Kian Tanner	2-0	Kevin Thomas	2-0	Hans Jacob Goddik	0-2	Mark Hollaar	2-1	Owen Schading	2-1	Gabriel Balannik	2-0	Steven Borakove	0-2	Evan Jasinkiewicz	2-0	Max Gilmore	0-2	Camari Bolger	2-0	Wyland Tregear	1-2
Shadowuni	Colorless Mystic Forge Combo	James Lugo	2-1	Chris Neuteboom	2-1	LoganNEF	2-1	Shawn Austin	2-0	Kyle Dorgan	2-1	Patrick Green	2-0	Jacob Murray	2-0	Paul Raynes	0-2	Eric Ratkowski	2-0	matthieu dupuy	2-0	Jon Barber	1-2	Sam Lowe	1-2	Trevor Sharp	0-2	Yackobo1421	2-1	LastClaireBender	1-2
TarenD	Mono-Green	Scott Miller	2-0	George Magee	2-1	Sam Castrucci	1-2	Alvin Gillo	2-1	Kiet Ngo	0-2	Eugene Freeman	2-1	Tommy Wray	1-2	Ryan Eakins	2-1	Jake Rutkowski	2-1	TheLegend27	2-0	Miguel Chavez	2-0	Eric Farmer	1-2	Ken Ryan	2-0	DrakeHoness	2-1	Jeffrey Zhang	1-2
Thomas Genzman	Grixis Control	ddrogowski	2-0	Reuben Musselman	2-1	David Tobias	2-0	Jack Pullman	2-0	RobinH	0-2	Hank Zhong	0-2	Louis Salerno	2-1	george efelis	2-1	Scott Blumenthal	0-2	DrakeHoness	2-0	Anthony Brown	2-0	Gabe Hoppe	2-0	P0stalweight	2-0	Michael Puchkov	0-2	Sam Lowe	1-2
Sam Castrucci	Bant Nadu Cradle Combo	Garrett Sargent	2-1	Colton Sandford	2-0	TarenD	2-1	Edward Arce	2-0	Jacob Woods	2-0	Kieran MacDuff	2-0	Owen Schading	2-0	Jon Barber	1-2	Ross Berkowitz	0-2	Tom Hertfelder	1-2	Tad Gibson	2-0	Christopher Wessel	1-2	Matthew Kunze	0-2	y2fae	2-1	Beau Barnette	2-0
Kelvin Wallace	Mono-White Mystic Forge Combo	Daniel Kelton	2-1	Miguel Chavez	2-0	Jeremy Rowe	2-1	Max Dore	2-0	Joshua White	0-2	Khurtz11	2-0	Nam Dang	2-1	MatP21	2-0	Hans Jacob Goddik	1-2	Jessy Hefner	0-2	Jared Lefkowitz	0-2	ShaH1	2-0	Chris Chauvet	2-1	Alec Hale	2-0	Kiet Ngo	1-2
Michael Weaver	Mono-Red Eldrazi	TonyScapone	2-0	Ramy Mansour	0-2	Ian Drake	2-0	Stefan Vastek	2-1	Noah Hippensteel	0-2	Hart Horton	2-1	James Schlott	2-0	Nosferatu Espinoza	1-2	Jack Pullman	2-1	Pedro Perrini	2-0	Jake Abernathie	2-0	Boston Schatteman	1-2	Spencer Asral	2-1	Taylor Herfindahl	2-0	ZeeSeeKay	0-2
Eric Farmer	Rakdos Painter	Treebeard3	2-1	James Gertz	2-0	Spencer Asral	1-2	Donny Yeh	2-1	Max Garman	2-0	Michael Johnson	1-2	Jarvis Yu	2-0	Michael Sofia	2-0	Christopher Wessel	2-0	dukevitro	0-2	Niklas Holtmann	2-0	TarenD	2-1	hrwk	1-2	Robert Hayes	1-2	Oliver Higgins	2-0
Jessy Hefner	W-U-R-G	Jeremy Cairl	0-2	mattskones	2-0	KURT SHULTS	2-1	David Daniel	2-1	NRaupp	2-1	Chad Uzzell	2-1	Hank Zhong	1-2	Kiet Ngo	2-1	Collin Bornhoft	2-1	Kelvin Wallace	2-0	Dan Atkins	0-2	Max Gilmore	1-2	David Barentsen	2-1	Laurent GADCHAUX	2-1	Christopher Wessel	0-2
