Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15		Round 16		Round 17	
Scarro	UR Aggro	Alessandro Casamenti 	2-1	Jan Kiss	1-0	fedetett	2-0	justjasper	2-0	Rodmanbcn	2-1	Adrian Rivas	2-1	GiuC11	2-1	Tomek Hanik	2-0	Stefan Gussenhoven	0-2	Eric Ratkowski	2-0	Niccolo' Olivieri	0-2	Magicskeleton	0-2	Alexi Krochmaluk	0-2	Jack Doyle	1-2						
Upredaturi	4:5c Control	FabM18	2-1	Redouane Bouarar	2-0	Angelobrc	2-1	Maarten van Tol	2-0	Aureliano Babbi	0-2	Jose Maria Bermudo Mera	2-1	Michele Gallegos	2-1	LuiLav	1-2	Tim Matzke	2-1	GabR20	2-1	Matteo Di Gangi	0-2	René Hubrich	1-2	Dod2gaia	1-2	Timo Bertram	2-0						
CarB51	Rakdos		Bye	Ergazpo	2-0	Iacopo Pineschi	2-0	SebastianF	0-2	Francis Cowper	2-0	AngelCrazy	2-1	Eric Ratkowski	1-2	Riccardo Bragato	2-1	Supreme90	0-2	wiky	2-1	Wouter Segaar	0-2	Simon Ritter	2-1	KaylaAnn	2-1	Basti_B	1-2						
Enrico Donisi	BUG Midrange	MicZ	2-0	LucaMassimoRainieri	2-1	Lemure90	2-0	Stucanojohn	1-2	PeachBulls	2-0	JoFontana	2-0	Cena	2-0	JonasW1	0-2	Philipp Vogel	2-0	Lucas Mietton	2-0	Magicskeleton	1-2	Epelde	0-2	Jin Liu	2-1	Diego Badinotti	1-2						
Aureliano Babbi	Mono-Red	iluvatarr	2-0	Tim Langer	2-1	Roberto Venditti	2-1	AngusMTG	2-1	Upredaturi	2-0	Clément Rieutort	0-2	Jack Doyle	0-2	AlexanderJJensen	2-0	mopanda	2-0	Svaca	0-2	PaoP6	1-2	Lorenzo Donati	2-0	Andrea Mengucci	1-2	Supreme90	2-1						
Lucas Mietton	Cloudpost Ramp	giuliosicilianomr	2-0	Jan Schmidt	2-0	SebH9	2-0	GyaraMos6812	2-0	Tomek Hanik	0-2	Kheldarion	2-1	Magicskeleton	0-2	MaciejKaras	2-0	Egor Titov	2-1	Enrico Donisi	0-2	Stucanojohn	2-1	Valentino Bisogno	2-0	Jordy Nieuw	0-2	Timo Zeyer	1-2						
Andrea Mengucci	Dimir Tempo	Paulbern	2-0	Daniel Peretz	2-1	Benedict Bienias	2-0	BoshNRoll_Brian	2-0	Adrian Rivas	1-2	Bartosz Kryda	2-1	Alexi Krochmaluk	0-2	AleG114	2-0	Ted Bratsberg	2-0	PatrizioG	1-2	Epelde	0-2	Stucanojohn	2-1	Aureliano Babbi	2-1	LuiLav	1-2						
GiuC11	Oops, All Spells!	Ben Belmans	2-0	Schmerg	2-1	Supreme90	2-1	Michel Kohn	2-0	dklatt	2-0	PabO3	2-0	Scarro	1-2	Giovasc91	0-2	Louis JULLIEN	2-0	Damien Carrivick	2-1	Lemure90	1-2	AngelCrazy	0-2	SebastianF	2-0	Rodrigo Togores	0-2						
jerko jovic	Eldrazi Aggro	Lionco	2-0	ForceofPhil	2-0	Timo Zeyer	1-2	Gaetan Ongena	2-1	Tomizor	2-0	Rcamargo	2-1	Ferrarix	2-0	Valentino Bisogno	2-0	Ilya Shcherbakov	2-0	LuiLav	2-1	Clément Rieutort	1-2	Tommaso Ciampolini	1-2	Tomek Hanik	0-2	Svaca	0-2						
Francois LIROLA	Decklist	Sven Schmidt	2-0	Alex_UNLIMITED	2-0	Cermak	2-1	Patrick Pouwels	2-1	Janne M.	2-0	Timo Zeyer	1-2	Valentino Bisogno	1-2	Parker Southwick	2-0	Alessandro Casamenti 	2-1	Bobovic	2-0	Svaca	2-1	Kheldarion	0-2	MartinoB	0-2	SteS86	0-2						
Luca Fasoli	Doomsday	RicB42	2-0	Benedikt Gruber	2-0	ericdark7	0-2	fifo4567	2-1	Gobbos4Daze	2-0	Supreme90	2-1	BoshNRoll_Brian	2-1	Yoniariel	0-2	Gareth Whitham	2-1	Timo Bertram	1-2	Alessandro Casamenti 	2-1	Bravo Gabri	2-1	AngelCrazy	0-2	GabR20	0-2						
GiovanniDemaio	Mystic Forge		Bye	Antonio Di Meglio	2-0	GyaraMos6812	1-2	michele delpiazzo	2-1	DavD65	2-0	LordRiku	0-2	Tadeo	2-1	ilia	2-0	David Lambregs	2-1	SteS86	1-2	Bobovic	2-0	Tugsteno	2-1	Epelde	1-2	andrea riva	0-2						
Kathal09	Stiflenought	Nicolas Dolling	2-0	SpookyJack	2-1	Mike Hadley	2-0	EMILE98	1-2	Tommaso Ciampolini	0-2	GottliebRisch	2-0	gggodgiven	2-1	MarcoFermani	2-0	Bobovic	0-2	Sébastien Fayand	2-1	Jordy Nieuw	0-1	Il_Divino_Menca	2-0	AriFaggin	2-1	LucaMassimoRainieri	0-2						
