Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Mycosynth Lattice                                        |    65 |  9.64% |           0 |          65 |    256-273-6 | 48.41% | 2560-2543-84 |  50.16% |  232-249-6 |    48.25% |
| Wastescape Battlemage                                    |    65 |  9.64% |         229 |          14 |    257-263-7 | 49.43% | 2559-2553-83 |  50.06% |  231-237-5 |    49.37% |
| Cori-Steel Cutter                                        |    64 |  9.50% |         195 |           4 |    275-259-5 | 51.48% | 2541-2557-85 |  49.85% |  259-243-5 |    51.58% |
| Eldrazi Temple                                           |    63 |  9.35% |         251 |           0 |    249-252-6 | 49.70% | 2567-2564-84 |  50.03% |  225-228-6 |    49.67% |
| Force of Vigor                                           |    63 |  9.35% |           0 |         165 |    264-265-8 | 49.91% | 2552-2551-82 |  50.01% |  238-239-6 |    49.90% |
| Lion's Eye Diamond                                       |    63 |  9.35% |         140 |           9 |    291-262-4 | 52.60% | 2525-2554-86 |  49.72% |  262-233-4 |    52.91% |
| Prismatic Ending                                         |    63 |  9.35% |          92 |          36 |    257-256-8 | 50.10% | 2559-2560-82 |  49.99% |  241-240-8 |    50.10% |
| Veil of Summer                                           |    63 |  9.35% |         131 |          50 |    267-270-5 | 49.72% | 2549-2546-85 |  50.03% |  247-250-5 |    49.70% |
| Eldrazi Linebreaker                                      |    62 |  9.20% |         248 |           0 |    249-249-6 | 50.00% | 2567-2567-84 |  50.00% |  225-225-6 |    50.00% |
| Red Elemental Blast                                      |    62 |  9.20% |          16 |          75 |    210-253-9 | 45.44% | 2606-2563-81 |  50.41% |  187-230-9 |    44.95% |
| Thassa's Oracle                                          |    62 |  9.20% |          89 |           3 |    297-256-4 | 53.68% | 2519-2560-86 |  49.60% |  264-223-4 |    54.18% |
| Reality Smasher                                          |    61 |  9.05% |         165 |           0 |    249-246-6 | 50.30% | 2567-2570-84 |  49.97% |  225-222-6 |    50.33% |
| Spell Pierce                                             |    61 |  9.05% |          84 |           4 |    225-266-9 | 45.90% | 2591-2550-81 |  50.39% |  200-241-9 |    45.44% |
| Planar Nexus                                             |    60 |  8.90% |         240 |           0 |    255-259-6 | 49.62% | 2561-2557-84 |  50.04% |  226-230-6 |    49.57% |
| Urza's Tower                                             |    60 |  8.90% |         237 |           0 |    255-259-6 | 49.62% | 2561-2557-84 |  50.04% |  226-230-6 |    49.57% |
| Omniscience                                              |    59 |  8.75% |         153 |           3 |    216-254-4 | 45.99% | 2600-2562-86 |  50.36% |  193-231-4 |    45.56% |
| Grim Monolith                                            |    58 |  8.61% |         172 |           3 |    228-239-6 | 48.84% | 2588-2577-84 |  50.10% |  205-216-6 |    48.71% |
| Snuff Out                                                |    58 |  8.61% |          50 |          44 |   292-239-13 | 54.87% | 2524-2577-77 |  49.49% | 267-214-11 |    55.39% |
| Preordain                                                |    57 |  8.46% |          73 |           0 |    240-241-6 | 49.90% | 2576-2575-84 |  50.01% |  219-220-6 |    49.89% |
| Secluded Courtyard                                       |    57 |  8.46% |         223 |           0 |    227-228-6 | 49.89% | 2589-2588-84 |  50.01% |  209-210-6 |    49.88% |
| Wrath of the Skies                                       |    56 |  8.31% |           2 |          99 |   255-229-16 | 52.60% | 2561-2587-74 |  49.75% | 236-210-12 |    52.84% |
| Bayou                                                    |    55 |  8.16% |          85 |           0 |   226-231-11 | 49.47% | 2590-2585-79 |  50.05% | 217-222-11 |    49.44% |
| Hymn to Tourach                                          |    55 |  8.16% |         139 |           4 |   251-234-11 | 51.71% | 2565-2582-79 |  49.84% | 224-207-11 |    51.92% |
| Phelia, Exuberant Shepherd                               |    55 |  8.16% |         191 |           0 |   266-223-13 | 54.28% | 2550-2593-77 |  49.59% | 249-206-11 |    54.61% |
| Endurance                                                |    53 |  7.86% |          62 |          70 |   223-223-13 | 50.00% | 2593-2593-77 |  50.00% | 212-212-13 |    50.00% |
| Lavaspur Boots                                           |    53 |  7.86% |          53 |           0 |    224-231-8 | 49.24% | 2592-2585-82 |  50.07% |  204-211-8 |    49.17% |
| Meticulous Archive                                       |    53 |  7.86% |          53 |           0 |   247-213-13 | 53.59% | 2569-2603-77 |  49.68% | 231-197-13 |    53.85% |
