Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Phyrexian Dreadnought                                    |     5 |  0.74% |          17 |           0 |      20-25-0 | 44.44% | 2796-2791-90 |  50.04% |    19-24-0 |    44.19% |
| Runehorn Hellkite                                        |     5 |  0.74% |           5 |           0 |      21-22-0 | 48.84% | 2795-2794-90 |  50.01% |    21-22-0 |    48.84% |
| Shoot the Sheriff                                        |     5 |  0.74% |           1 |           4 |      14-20-0 | 41.18% | 2802-2796-90 |  50.05% |    14-20-0 |    41.18% |
| Song of Creation                                         |     5 |  0.74% |           5 |           0 |      16-25-0 | 39.02% | 2800-2791-90 |  50.08% |    16-25-0 |    39.02% |
| Thalia, Guardian of Thraben                              |     5 |  0.74% |          12 |           0 |      16-21-2 | 43.59% | 2800-2795-88 |  50.04% |    16-21-2 |    43.59% |
| Toxicrene                                                |     5 |  0.74% |           0 |           5 |      20-18-5 | 52.33% | 2796-2798-85 |  49.98% |    20-18-5 |    52.33% |
| Unclaimed Territory                                      |     5 |  0.74% |          15 |           0 |      16-19-1 | 45.83% | 2800-2797-89 |  50.03% |    16-19-1 |    45.83% |
| Unearth                                                  |     5 |  0.74% |           3 |           2 |      16-18-0 | 47.06% | 2800-2798-90 |  50.02% |    16-18-0 |    47.06% |
| Untimely Malfunction                                     |     5 |  0.74% |           0 |           5 |      28-18-1 | 60.64% | 2788-2798-89 |  49.91% |    28-18-1 |    60.64% |
| Valgavoth's Lair                                         |     5 |  0.74% |           5 |           0 |      22-21-0 | 51.16% | 2794-2795-90 |  49.99% |    22-21-0 |    51.16% |
| Wear Down                                                |     5 |  0.74% |           0 |           7 |      24-21-0 | 53.33% | 2792-2795-90 |  49.97% |    24-21-0 |    53.33% |
| Yuriko, the Tiger's Shadow                               |     5 |  0.74% |          10 |           0 |      22-21-0 | 51.16% | 2794-2795-90 |  49.99% |    22-21-0 |    51.16% |
| Zuran Orb                                                |     5 |  0.74% |           5 |           0 |      21-22-0 | 48.84% | 2795-2794-90 |  50.01% |    21-22-0 |    48.84% |
| Alchemist's Gambit                                       |     4 |  0.59% |           0 |           4 |      22-16-0 | 57.89% | 2794-2800-90 |  49.95% |    22-16-0 |    57.89% |
| Amphibian Downpour                                       |     4 |  0.59% |           0 |           4 |      15-18-0 | 45.45% | 2801-2798-90 |  50.03% |    14-17-0 |    45.16% |
| Ba Sing Se                                               |     4 |  0.59% |           4 |           0 |      21-15-0 | 58.33% | 2795-2801-90 |  49.95% |    21-15-0 |    58.33% |
| Careful Study                                            |     4 |  0.59% |           9 |           0 |      19-18-0 | 51.35% | 2797-2798-90 |  49.99% |    19-18-0 |    51.35% |
| Cast into the Fire                                       |     4 |  0.59% |           0 |           4 |      23-18-0 | 56.10% | 2793-2798-90 |  49.96% |    23-18-0 |    56.10% |
| Castle Locthwain                                         |     4 |  0.59% |           5 |           0 |      17-16-1 | 51.47% | 2799-2800-89 |  49.99% |    16-15-1 |    51.56% |
| Chains of Mephistopheles                                 |     4 |  0.59% |           0 |           5 |      17-16-1 | 51.47% | 2799-2800-89 |  49.99% |    16-15-1 |    51.56% |
| Choke                                                    |     4 |  0.59% |           0 |           6 |      17-15-0 | 53.12% | 2799-2801-90 |  49.98% |    17-15-0 |    53.12% |
| Commercial District                                      |     4 |  0.59% |           4 |           0 |      13-19-0 | 40.62% | 2803-2797-90 |  50.05% |    13-19-0 |    40.62% |
| Crucible of Worlds                                       |     4 |  0.59% |           1 |           3 |      11-15-0 | 42.31% | 2805-2801-90 |  50.04% |    11-15-0 |    42.31% |
| Delighted Halfling                                       |     4 |  0.59% |          11 |           0 |      12-16-0 | 42.86% | 2804-2800-90 |  50.04% |    12-16-0 |    42.86% |
| Disruptive Stormbrood // Petty Revenge                   |     4 |  0.59% |           1 |           3 |      11-15-0 | 42.31% | 2805-2801-90 |  50.04% |    11-15-0 |    42.31% |
| Drown in the Loch                                        |     4 |  0.59% |           5 |           0 |      19-14-2 | 57.14% | 2797-2802-88 |  49.96% |    19-14-2 |    57.14% |
| Eiganjo, Seat of the Empire                              |     4 |  0.59% |           4 |           0 |      15-17-1 | 46.97% | 2801-2799-89 |  50.02% |    15-17-1 |    46.97% |
| Eladamri, Korvecdal                                      |     4 |  0.59% |           4 |           3 |      12-21-0 | 36.36% | 2804-2795-90 |  50.08% |    12-21-0 |    36.36% |
| Elvish Mystic                                            |     4 |  0.59% |           7 |           0 |      17-21-0 | 44.74% | 2799-2795-90 |  50.04% |    17-21-0 |    44.74% |
| Exorcise                                                 |     4 |  0.59% |           0 |           6 |      25-17-2 | 59.09% | 2791-2799-88 |  49.93% |    25-17-2 |    59.09% |
| Extirpate                                                |     4 |  0.59% |           0 |           5 |      20-17-0 | 54.05% | 2796-2799-90 |  49.97% |    20-17-0 |    54.05% |
| Fyndhorn Elves                                           |     4 |  0.59% |           8 |           0 |      21-16-1 | 56.58% | 2795-2800-89 |  49.96% |    21-16-1 |    56.58% |
| Glacial Chasm                                            |     4 |  0.59% |           3 |           1 |      12-18-1 | 40.32% | 2804-2798-89 |  50.05% |    12-18-1 |    40.32% |
| Goblin Ringleader                                        |     4 |  0.59% |          12 |           0 |       9-16-0 | 36.00% | 2807-2800-90 |  50.06% |     9-16-0 |    36.00% |
| Howlsquad Heavy                                          |     4 |  0.59% |          16 |           0 |      10-16-0 | 38.46% | 2806-2800-90 |  50.05% |    10-16-0 |    38.46% |
| Impulse                                                  |     4 |  0.59% |          11 |           0 |      22-18-0 | 55.00% | 2794-2798-90 |  49.96% |    22-18-0 |    55.00% |
| Inquisition of Kozilek                                   |     4 |  0.59% |           3 |           2 |      10-15-1 | 40.38% | 2806-2801-89 |  50.04% |    10-15-1 |    40.38% |
| Into the Flood Maw                                       |     4 |  0.59% |           0 |           9 |      23-18-1 | 55.95% | 2793-2798-89 |  49.96% |    23-18-1 |    55.95% |
| Invasion Submersible                                     |     4 |  0.59% |           0 |           4 |      21-20-0 | 51.22% | 2795-2796-90 |  49.99% |    21-20-0 |    51.22% |
| Leyline of Sanctity                                      |     4 |  0.59% |           0 |          16 |      10-14-0 | 41.67% | 2806-2802-90 |  50.04% |    10-14-0 |    41.67% |
| Liliana of the Veil                                      |     4 |  0.59% |          15 |           0 |      12-15-2 | 44.83% | 2804-2801-88 |  50.03% |    12-15-2 |    44.83% |
| Lodestone Golem                                          |     4 |  0.59% |           4 |           8 |      21-22-1 | 48.86% | 2795-2794-89 |  50.01% |    21-22-1 |    48.86% |
| Lord of Atlantis                                         |     4 |  0.59% |          16 |           0 |       5-17-0 | 22.73% | 2811-2799-90 |  50.11% |     5-17-0 |    22.73% |
| Master of the Pearl Trident                              |     4 |  0.59% |          14 |           0 |       5-17-0 | 22.73% | 2811-2799-90 |  50.11% |     5-17-0 |    22.73% |
| Matter Reshaper                                          |     4 |  0.59% |          12 |           0 |       8-15-0 | 34.78% | 2808-2801-90 |  50.06% |     8-15-0 |    34.78% |
| Melded Moxite                                            |     4 |  0.59% |           6 |           0 |      15-15-0 | 50.00% | 2801-2801-90 |  50.00% |    15-15-0 |    50.00% |
| Mishra's Factory                                         |     4 |  0.59% |          16 |           0 |      12-13-1 | 48.08% | 2804-2803-89 |  50.01% |    12-13-1 |    48.08% |
| Muxus, Goblin Grandee                                    |     4 |  0.59% |          13 |           0 |       9-16-0 | 36.00% | 2807-2800-90 |  50.06% |     9-16-0 |    36.00% |
| Night's Whisper                                          |     4 |  0.59% |           5 |           0 |      20-16-0 | 55.56% | 2796-2800-90 |  49.96% |    20-16-0 |    55.56% |
| Nomads en-Kor                                            |     4 |  0.59% |          14 |           0 |      16-18-0 | 47.06% | 2800-2798-90 |  50.02% |    16-18-0 |    47.06% |
| Nulldrifter                                              |     4 |  0.59% |           8 |           0 |      20-20-0 | 50.00% | 2796-2796-90 |  50.00% |    19-19-0 |    50.00% |
| Orim's Chant                                             |     4 |  0.59% |           8 |           0 |      17-17-0 | 50.00% | 2799-2799-90 |  50.00% |    17-17-0 |    50.00% |
| Pernicious Deed                                          |     4 |  0.59% |           0 |           5 |      10-15-1 | 40.38% | 2806-2801-89 |  50.04% |    10-15-1 |    40.38% |
| Planar Genesis                                           |     4 |  0.59% |           9 |           0 |      12-20-0 | 37.50% | 2804-2796-90 |  50.07% |    12-20-0 |    37.50% |
| Pulverize                                                |     4 |  0.59% |           0 |           4 |      13-19-0 | 40.62% | 2803-2797-90 |  50.05% |    13-19-0 |    40.62% |
| Rakshasa's Bargain                                       |     4 |  0.59% |           8 |           0 |      12-15-1 | 44.64% | 2804-2801-89 |  50.03% |    12-15-1 |    44.64% |
| Relic of Progenitus                                      |     4 |  0.59% |           2 |           5 |        1-9-0 | 10.00% | 2815-2807-90 |  50.07% |      1-9-0 |    10.00% |
| Rough // Tumble                                          |     4 |  0.59% |           0 |           4 |       9-17-0 | 34.62% | 2807-2799-90 |  50.07% |     9-17-0 |    34.62% |
| Sire of Insanity                                         |     4 |  0.59% |           2 |           3 |      17-16-0 | 51.52% | 2799-2800-90 |  49.99% |    17-16-0 |    51.52% |
| Snow-Covered Wastes                                      |     4 |  0.59% |           4 |           0 |      10-15-0 | 40.00% | 2806-2801-90 |  50.04% |    10-15-0 |    40.00% |
| Spatial Contortion                                       |     4 |  0.59% |           1 |           6 |      22-17-0 | 56.41% | 2794-2799-90 |  49.96% |    21-16-0 |    56.76% |
| Spell Snare                                              |     4 |  0.59% |           6 |           0 |       8-15-2 | 36.00% | 2808-2801-88 |  50.06% |     8-15-2 |    36.00% |
| Spoils of the Vault                                      |     4 |  0.59% |           0 |          13 |      11-16-0 | 40.74% | 2805-2800-90 |  50.04% |    11-16-0 |    40.74% |
| Step Through                                             |     4 |  0.59% |           4 |           0 |      22-18-0 | 55.00% | 2794-2798-90 |  49.96% |    22-18-0 |    55.00% |
| Summoner's Pact                                          |     4 |  0.59% |          14 |           0 |      13-15-0 | 46.43% | 2803-2801-90 |  50.02% |    13-15-0 |    46.43% |
| Thorn of Amethyst                                        |     4 |  0.59% |           8 |           5 |       7-13-0 | 35.00% | 2809-2803-90 |  50.05% |     7-13-0 |    35.00% |
| Tide Shaper                                              |     4 |  0.59% |          16 |           0 |       5-17-0 | 22.73% | 2811-2799-90 |  50.11% |     5-17-0 |    22.73% |
| Unmarked Grave                                           |     4 |  0.59% |          13 |           0 |       7-14-0 | 33.33% | 2809-2802-90 |  50.06% |     7-14-0 |    33.33% |
| Urza's Mine                                              |     4 |  0.59% |          10 |           0 |      27-19-1 | 58.51% | 2789-2797-89 |  49.93% |    27-19-1 |    58.51% |
| Vodalian Hexcatcher                                      |     4 |  0.59% |          16 |           0 |       5-17-0 | 22.73% | 2811-2799-90 |  50.11% |     5-17-0 |    22.73% |
| Wight of the Reliquary                                   |     4 |  0.59% |          16 |           0 |      29-16-1 | 64.13% | 2787-2800-89 |  49.89% |    29-16-1 |    64.13% |
| Wish                                                     |     4 |  0.59% |           5 |           0 |      22-16-0 | 57.89% | 2794-2800-90 |  49.95% |    22-16-0 |    57.89% |
