Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Containment Priest                                           |    48 |  5.13% |    194-195-13 | 49.88% |          30 |          54 |    34-37-2 |    47.95% |      15-24-0 |       38.46% |          26-30-1 |          46.49% |
| Unholy Heat                                                  |    48 |  5.13% |    191-192-17 | 49.88% |          54 |          21 |    32-30-1 |    51.59% |      20-11-0 |       64.52% |          20-24-5 |          45.92% |
| Gaddock Teeg                                                 |    47 |  5.02% |    234-196-11 | 54.31% |           2 |          45 |    54-41-2 |    56.70% |      19-19-0 |       50.00% |          23-29-1 |          44.34% |
| Mox Diamond                                                  |    47 |  5.02% |     183-214-6 | 46.15% |         178 |           0 |    32-30-2 |    51.56% |      17-32-0 |       34.69% |          21-26-1 |          44.79% |
| Otawara, Soaring City                                        |    47 |  5.02% |    179-204-10 | 46.82% |          55 |           0 |    38-39-2 |    49.37% |      18-27-0 |       40.00% |          21-31-1 |          40.57% |
| Dread of Night                                               |    47 |  5.02% |    179-203-16 | 46.98% |           0 |          54 |    26-41-2 |    39.13% |      12-18-1 |       40.32% |          19-30-2 |          39.22% |
| Abrade                                                       |    46 |  4.91% |    206-192-22 | 51.67% |           0 |          62 |    33-32-2 |    50.75% |      23-18-0 |       56.10% |          19-26-5 |          43.00% |
| Lush Portico                                                 |    45 |  4.81% |    217-185-10 | 53.88% |          45 |           0 |    46-42-2 |    52.22% |      17-19-0 |       47.22% |          23-19-1 |          54.65% |
| Shatterskull Smashing // Shatterskull, the Hammer Pass       |    45 |  4.81% |     177-189-5 | 48.38% |         113 |           0 |    28-31-0 |    47.46% |      13-20-1 |       39.71% |          33-18-1 |          64.42% |
| Sundering Eruption // Volcanic Fissure                       |    45 |  4.81% |     173-188-4 | 47.95% |         170 |           0 |    28-31-0 |    47.46% |      12-20-1 |       37.88% |          32-19-1 |          62.50% |
| Shadowspear                                                  |    45 |  4.81% |     170-191-7 | 47.15% |          20 |          25 |    36-33-1 |    52.14% |      10-21-0 |       32.26% |          26-21-2 |          55.10% |
| Sink into Stupor // Soporific Springs                        |    44 |  4.70% |     170-181-7 | 48.46% |          82 |           0 |    27-43-2 |    38.89% |      13-15-1 |       46.55% |          21-26-0 |          44.68% |
| Yavimaya, Cradle of Growth                                   |    44 |  4.70% |     165-203-6 | 44.92% |         125 |           0 |    29-27-2 |    51.72% |      10-28-0 |       26.32% |          15-29-0 |          34.09% |
| Noble Hierarch                                               |    43 |  4.59% |     245-189-7 | 56.35% |         124 |           0 |    49-38-2 |    56.18% |      26-22-0 |       54.17% |          24-22-0 |          52.17% |
| Uro, Titan of Nature's Wrath                                 |    43 |  4.59% |     216-177-7 | 54.87% |          52 |           2 |    44-37-3 |    54.17% |      23-16-0 |       58.97% |          29-27-1 |          51.75% |
| Deafening Silence                                            |    43 |  4.59% |    203-173-10 | 53.89% |           0 |          95 |    37-36-2 |    50.67% |      14-21-0 |       40.00% |          17-21-2 |          45.00% |
| Pyrogoyf                                                     |    43 |  4.59% |     168-180-4 | 48.30% |         156 |           1 |    26-29-0 |    47.27% |      14-20-1 |       41.43% |          32-19-1 |          62.50% |
| Ghost Quarter                                                |    43 |  4.59% |     160-199-5 | 44.64% |          40 |           5 |    26-21-2 |    55.10% |      16-27-0 |       37.21% |          20-21-1 |          48.81% |
| Show and Tell                                                |    42 |  4.49% |     166-179-1 | 48.12% |         141 |          27 |    18-39-1 |    31.90% |      23-19-0 |       54.76% |          17-24-0 |          41.46% |
| Prismatic Vista                                              |    42 |  4.49% |    159-163-14 | 49.40% |         129 |           0 |    27-26-2 |    50.91% |      14-22-0 |       38.89% |          19-24-3 |          44.57% |
| Dark Depths                                                  |    42 |  4.49% |     157-197-6 | 44.44% |         138 |           0 |    30-29-2 |    50.82% |       9-27-0 |       25.00% |          15-24-0 |          38.46% |
| Delighted Halfling                                           |    41 |  4.38% |     211-169-8 | 55.41% |         144 |           0 |    41-33-2 |    55.26% |      16-20-0 |       44.44% |          22-22-1 |          50.00% |
| Damping Sphere                                               |    41 |  4.38% |     170-189-3 | 47.38% |           0 |          47 |    32-29-2 |    52.38% |      14-24-0 |       36.84% |          19-33-1 |          36.79% |
| Scrubland                                                    |    41 |  4.38% |     160-168-8 | 48.81% |          71 |           0 |    32-31-3 |    50.76% |      13-22-0 |       37.14% |          21-24-2 |          46.81% |
| Thespian's Stage                                             |    41 |  4.38% |     154-191-6 | 44.73% |         146 |           0 |    28-28-2 |    50.00% |       9-26-0 |       25.71% |          15-24-0 |          38.46% |
| Duress                                                       |    40 |  4.27% |     186-177-3 | 51.23% |          59 |          44 |    25-35-1 |    41.80% |      21-17-0 |       55.26% |          22-24-0 |          47.83% |
| Fiery Confluence                                             |    40 |  4.27% |     165-165-4 | 50.00% |           0 |          93 |    28-27-0 |    50.91% |      14-17-1 |       45.31% |          31-14-1 |          68.48% |
| Maze of Ith                                                  |    39 |  4.17% |     153-181-5 | 45.87% |          50 |           1 |    29-24-2 |    54.55% |       9-26-0 |       25.71% |          16-23-1 |          41.25% |
| Malevolent Rumble                                            |    38 |  4.06% |     155-176-3 | 46.86% |         147 |           0 |    29-23-1 |    55.66% |      14-25-0 |       35.90% |          17-23-1 |          42.68% |
| Serenity                                                     |    37 |  3.95% |     165-153-9 | 51.83% |           0 |          37 |    35-31-1 |    52.99% |       6-14-0 |       30.00% |          19-25-1 |          43.33% |
| Painter's Servant                                            |    36 |  3.85% |     150-151-6 | 49.84% |         144 |           0 |    29-30-1 |    49.17% |      12-15-0 |       44.44% |          17-27-1 |          38.89% |
| Grindstone                                                   |    36 |  3.85% |     150-151-6 | 49.84% |          76 |           3 |    29-30-1 |    49.17% |      12-15-0 |       44.44% |          17-27-1 |          38.89% |
| Harbinger of the Seas                                        |    36 |  3.85% |    102-145-12 | 41.70% |           1 |          56 |    17-31-0 |    35.42% |      12-13-0 |       48.00% |          13-23-3 |          37.18% |
| Preordain                                                    |    35 |  3.74% |     156-148-9 | 51.28% |          61 |           0 |    23-26-0 |    46.94% |       17-8-0 |       68.00% |          21-24-3 |          46.88% |
| Exploration                                                  |    35 |  3.74% |     136-167-4 | 44.95% |         137 |           0 |    27-21-2 |    56.00% |       9-24-0 |       27.27% |          14-18-1 |          43.94% |
| Inquisition of Kozilek                                       |    34 |  3.63% |     177-142-7 | 55.37% |          11 |          50 |    24-28-1 |    46.23% |      16-11-0 |       59.26% |          29-24-0 |          54.72% |
| Keen-Eyed Curator                                            |    34 |  3.63% |     168-140-9 | 54.42% |          55 |           8 |    35-29-1 |    54.62% |      14-15-0 |       48.28% |          12-20-0 |          37.50% |
| Wooded Foothills                                             |    34 |  3.63% |     143-141-5 | 50.35% |          62 |           0 |    30-26-1 |    53.51% |       8-17-0 |       32.00% |           9-21-0 |          30.00% |
| The Tabernacle at Pendrell Vale                              |    34 |  3.63% |     134-162-5 | 45.35% |          34 |           0 |    28-22-2 |    55.77% |       9-25-0 |       26.47% |          13-19-0 |          40.62% |
| Omniscience                                                  |    34 |  3.63% |     133-146-1 | 47.68% |          84 |           7 |    13-33-1 |    28.72% |      19-17-0 |       52.78% |          14-19-0 |          42.42% |
| Scythecat Cub                                                |    33 |  3.53% |     156-130-7 | 54.44% |          50 |           0 |    39-26-1 |    59.85% |      12-12-0 |       50.00% |          15-15-1 |          50.00% |
| Mistrise Village                                             |    33 |  3.53% |     128-143-2 | 47.25% |          31 |          13 |    13-32-1 |    29.35% |      20-16-0 |       55.56% |          10-22-0 |          31.25% |
| Solitude                                                     |    32 |  3.42% |     154-131-8 | 53.92% |         105 |           2 |    25-23-3 |    51.96% |      12-19-0 |       38.71% |          21-19-1 |          52.44% |
| Eye of Ugin                                                  |    32 |  3.42% |     131-145-4 | 47.50% |          83 |           0 |    22-25-0 |    46.81% |      10-16-0 |       38.46% |          19-21-0 |          47.50% |
| Tendrils of Agony                                            |    32 |  3.42% |     120-138-2 | 46.54% |          33 |          24 |     9-36-0 |    20.00% |      14-10-0 |       58.33% |           9-19-0 |          32.14% |
| Beseech the Mirror                                           |    32 |  3.42% |     114-133-2 | 46.18% |          91 |          26 |     8-34-0 |    19.05% |       13-9-0 |       59.09% |           9-18-0 |          33.33% |
| Abrupt Decay                                                 |    31 |  3.31% |      99-132-2 | 42.92% |          14 |          34 |    13-25-1 |    34.62% |       6-11-0 |       35.29% |           2-23-0 |           8.00% |
| Stifle                                                       |    31 |  3.31% |      84-134-3 | 38.69% |          71 |           3 |    12-27-0 |    30.77% |        6-8-0 |       42.86% |           9-21-0 |          30.00% |
| Gaea's Cradle                                                |    31 |  3.31% |     163-133-5 | 54.98% |         101 |           0 |    33-23-1 |    58.77% |      10-13-0 |       43.48% |          13-22-0 |          37.14% |
| Phelia, Exuberant Shepherd                                   |    31 |  3.31% |     139-123-8 | 52.96% |         107 |           0 |    19-30-2 |    39.22% |      10-14-0 |       41.67% |          20-13-1 |          60.29% |
