Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Simian Spirit Guide                                          |   105 | 11.22% |         336 |           0 |   453-459-0 | 49.67% | 3498-3492-0 |  50.04% |  404-410-0 |    49.63% |    69-81-0 |    46.00% |      39-55-0 |       41.49% |          66-61-0 |          51.97% |         28 |     13.08% |            90 |             0 |          0 |        --- |           0 |           0 |
| Liquimetal Coating                                           |   105 | 11.22% |           0 |         105 |   484-437-0 | 52.55% | 3467-3514-0 |  49.66% |  435-388-0 |    52.86% |    80-92-0 |    46.51% |      46-41-0 |       52.87% |          56-48-0 |          53.85% |         25 |     11.68% |             0 |            25 |          3 |     37.50% |           0 |           3 |
| Veil of Summer                                               |   102 | 10.90% |         136 |         108 |   437-430-0 | 50.40% | 3514-3521-0 |  49.95% |  381-374-0 |    50.46% |    70-89-0 |    44.03% |      51-45-0 |       53.12% |          38-62-0 |          38.00% |         21 |      9.81% |            16 |            29 |          0 |        --- |           0 |           0 |
| Chalice of the Void                                          |    99 | 10.58% |         360 |          14 |   418-423-0 | 49.70% | 3533-3528-0 |  50.04% |  377-382-0 |    49.67% |    71-72-0 |    49.65% |      31-40-0 |       43.66% |          70-52-0 |          57.38% |         23 |     10.75% |            86 |             3 |          0 |        --- |           0 |           0 |
| Ghost Vacuum                                                 |    97 | 10.36% |          40 |          90 |   417-420-0 | 49.82% | 3534-3531-0 |  50.02% |  376-379-0 |    49.80% |    90-81-0 |    52.63% |      33-44-0 |       42.86% |          46-55-0 |          45.54% |         25 |     11.68% |             8 |            22 |          1 |     12.50% |           1 |           1 |
| Kaito, Bane of Nightmares                                    |    96 | 10.26% |         182 |           2 |   328-385-0 | 46.00% | 3623-3566-0 |  50.40% |  294-351-0 |    45.58% |    40-59-0 |    40.40% |      29-35-0 |       45.31% |          37-55-0 |          40.22% |         18 |      8.41% |            35 |             0 |          0 |        --- |           0 |           0 |
| Ugin, Eye of the Storms                                      |    96 | 10.26% |         154 |           3 |   445-389-0 | 53.36% | 3506-3562-0 |  49.60% |  407-351-0 |    53.69% |    78-86-0 |    47.56% |      41-41-0 |       50.00% |          51-44-0 |          53.68% |         23 |     10.75% |            34 |             1 |          2 |     25.00% |           1 |           1 |
| Blood Moon                                                   |    95 | 10.15% |         156 |          65 |   374-393-0 | 48.76% | 3577-3558-0 |  50.13% |  337-356-0 |    48.63% |    67-64-0 |    51.15% |      29-38-0 |       43.28% |          57-50-0 |          53.27% |         19 |      8.88% |            32 |            16 |          0 |        --- |           0 |           0 |
| Thassa's Oracle                                              |    94 | 10.04% |          99 |           5 |   442-410-0 | 51.88% | 3509-3541-0 |  49.77% |  390-358-0 |    52.14% |    74-81-0 |    47.74% |      37-43-0 |       46.25% |          49-58-0 |          45.79% |         26 |     12.15% |            27 |             2 |          2 |     25.00% |           1 |           2 |
| Chrome Mox                                                   |    93 |  9.94% |         347 |           3 |   368-394-0 | 48.29% | 3583-3557-0 |  50.18% |  331-357-0 |    48.11% |    49-73-0 |    40.16% |      33-40-0 |       45.21% |          48-50-0 |          48.98% |         19 |      8.88% |            71 |             0 |          0 |        --- |           0 |           0 |
| Marsh Flats                                                  |    91 |  9.72% |         179 |           0 |   404-359-0 | 52.95% | 3547-3592-0 |  49.68% |  357-312-0 |    53.36% |    72-68-0 |    51.43% |      30-45-0 |       40.00% |          51-50-0 |          50.50% |         25 |     11.68% |            45 |             0 |          2 |     25.00% |           2 |           0 |
| Urza's Workshop                                              |    90 |  9.62% |         355 |           0 |   422-368-0 | 53.42% | 3529-3583-0 |  49.62% |  382-328-0 |    53.80% |    77-79-0 |    49.36% |      40-41-0 |       49.38% |          45-40-0 |          52.94% |         23 |     10.75% |            92 |             0 |          3 |     37.50% |          12 |           0 |
| Manifold Key                                                 |    90 |  9.62% |         292 |           0 |   421-368-0 | 53.36% | 3530-3583-0 |  49.63% |  380-327-0 |    53.75% |    74-78-0 |    48.68% |      41-41-0 |       50.00% |          45-39-0 |          53.57% |         23 |     10.75% |            77 |             0 |          3 |     37.50% |          10 |           0 |
| Lavaspur Boots                                               |    90 |  9.62% |          90 |           0 |   355-380-0 | 48.30% | 3596-3571-0 |  50.17% |  321-346-0 |    48.13% |    66-59-0 |    52.80% |      32-46-0 |       41.03% |          50-50-0 |          50.00% |         18 |      8.41% |            18 |             0 |          1 |     12.50% |           1 |           0 |
| Flusterstorm                                                 |    90 |  9.62% |          43 |          82 |   374-399-0 | 48.38% | 3577-3552-0 |  50.18% |  337-362-0 |    48.21% |    57-76-0 |    42.86% |      33-44-0 |       42.86% |          42-55-0 |          43.30% |         21 |      9.81% |             9 |            15 |          0 |        --- |           0 |           0 |
| Tezzeret, Cruel Captain                                      |    89 |  9.51% |         287 |           1 |   411-367-0 | 52.83% | 3540-3584-0 |  49.69% |  372-328-0 |    53.14% |    73-79-0 |    48.03% |      39-41-0 |       48.75% |          43-40-0 |          51.81% |         23 |     10.75% |            74 |             0 |          3 |     37.50% |          10 |           0 |
| Portable Hole                                                |    88 |  9.40% |          61 |          92 |   416-359-0 | 53.68% | 3535-3592-0 |  49.60% |  376-319-0 |    54.10% |    75-79-0 |    48.70% |      39-42-0 |       48.15% |          45-38-0 |          54.22% |         24 |     11.21% |            15 |            26 |          3 |     37.50% |           2 |           3 |
| Lightning Bolt                                               |    87 |  9.29% |         318 |           6 |   347-352-0 | 49.64% | 3604-3599-0 |  50.03% |  317-322-0 |    49.61% |    61-59-0 |    50.83% |      32-28-0 |       53.33% |          38-51-0 |          42.70% |         17 |      7.94% |            61 |             0 |          0 |        --- |           0 |           0 |
| Magus of the Moon                                            |    87 |  9.29% |         184 |          59 |   320-366-0 | 46.65% | 3631-3585-0 |  50.32% |  292-338-0 |    46.35% |    50-71-0 |    41.32% |      28-38-0 |       42.42% |          45-44-0 |          50.56% |         16 |      7.48% |            43 |             9 |          0 |        --- |           0 |           0 |
| Mystic Forge                                                 |    87 |  9.29% |         150 |          75 |   412-356-0 | 53.65% | 3539-3595-0 |  49.61% |  371-315-0 |    54.08% |    73-76-0 |    48.99% |      41-41-0 |       50.00% |          44-39-0 |          53.01% |         23 |     10.75% |            40 |            21 |          3 |     37.50% |           5 |           3 |
| Fury                                                         |    86 |  9.19% |         178 |          88 |   354-366-0 | 49.17% | 3597-3585-0 |  50.08% |  321-333-0 |    49.08% |    56-69-0 |    44.80% |      31-38-0 |       44.93% |          49-46-0 |          51.58% |         19 |      8.88% |            39 |            22 |          0 |        --- |           0 |           0 |
| Carpet of Flowers                                            |    86 |  9.19% |           0 |         172 |   390-357-0 | 52.21% | 3561-3594-0 |  49.77% |  348-315-0 |    52.49% |    65-68-0 |    48.87% |      43-41-0 |       51.19% |          38-52-0 |          42.22% |         21 |      9.81% |             0 |            43 |          0 |        --- |           0 |           0 |
| Collector Ouphe                                              |    84 |  8.97% |          19 |          75 |   409-351-0 | 53.82% | 3542-3600-0 |  49.59% |  369-311-0 |    54.26% |    77-61-0 |    55.80% |      30-34-0 |       46.88% |          38-54-0 |          41.30% |         25 |     11.68% |             6 |            19 |          0 |        --- |           0 |           0 |
| Dark Ritual                                                  |    83 |  8.87% |         332 |           0 |   324-361-0 | 47.30% | 3627-3590-0 |  50.26% |  296-333-0 |    47.06% |    39-74-0 |    34.51% |      37-38-0 |       49.33% |          30-46-0 |          39.47% |         15 |      7.01% |            60 |             0 |          1 |     12.50% |           4 |           0 |
| Red Elemental Blast                                          |    82 |  8.76% |          43 |          99 |   310-345-0 | 47.33% | 3641-3606-0 |  50.24% |  283-318-0 |    47.09% |    50-63-0 |    44.25% |      27-27-0 |       50.00% |          35-51-0 |          40.70% |         14 |      6.54% |             5 |            15 |          0 |        --- |           0 |           0 |
| Meltdown                                                     |    81 |  8.65% |           0 |         104 |   327-323-0 | 50.31% | 3624-3628-0 |  49.97% |  297-293-0 |    50.34% |    48-57-0 |    45.71% |      29-22-0 |       56.86% |          37-44-0 |          45.68% |         17 |      7.94% |             0 |            25 |          0 |        --- |           0 |           0 |
| Perilous Snare                                               |    81 |  8.65% |           0 |          82 |   384-335-0 | 53.41% | 3567-3616-0 |  49.66% |  348-299-0 |    53.79% |    65-73-0 |    47.10% |      37-41-0 |       47.44% |          41-36-0 |          53.25% |         22 |     10.28% |             0 |            22 |          2 |     25.00% |           0 |           2 |
| Teferi, Time Raveler                                         |    78 |  8.33% |         111 |          13 |   347-326-0 | 51.56% | 3604-3625-0 |  49.85% |  328-307-0 |    51.65% |    54-67-0 |    44.63% |      27-35-0 |       43.55% |          37-40-0 |          48.05% |         20 |      9.35% |            32 |             2 |          0 |        --- |           0 |           0 |
| Fable of the Mirror-Breaker // Reflection of Kiki-Jiki       |    77 |  8.23% |         303 |           0 |   324-326-0 | 49.85% | 3627-3625-0 |  50.01% |  295-297-0 |    49.83% |    56-52-0 |    51.85% |      25-36-0 |       40.98% |          50-44-0 |          53.19% |         19 |      8.88% |            76 |             0 |          0 |        --- |           0 |           0 |
| Narcomoeba                                                   |    76 |  8.12% |         163 |           1 |   356-334-0 | 51.59% | 3595-3617-0 |  49.85% |  323-301-0 |    51.76% |    65-64-0 |    50.39% |      24-35-0 |       40.68% |          40-45-0 |          47.06% |         23 |     10.75% |            50 |             0 |          1 |     12.50% |           2 |           0 |
| Dread Return                                                 |    75 |  8.01% |          75 |           0 |   353-331-0 | 51.61% | 3598-3620-0 |  49.85% |  320-298-0 |    51.78% |    65-63-0 |    50.78% |      24-35-0 |       40.68% |          40-45-0 |          47.06% |         23 |     10.75% |            23 |             0 |          1 |     12.50% |           1 |           0 |
| Voltaic Key                                                  |    74 |  7.91% |          88 |           0 |   331-304-0 | 52.13% | 3620-3647-0 |  49.81% |  303-276-0 |    52.33% |    56-64-0 |    46.67% |      33-35-0 |       48.53% |          36-31-0 |          53.73% |         18 |      8.41% |            21 |             0 |          2 |     25.00% |           3 |           0 |
| Memory's Journey                                             |    74 |  7.91% |          73 |           1 |   349-328-0 | 51.55% | 3602-3623-0 |  49.85% |  316-295-0 |    51.72% |    64-63-0 |    50.39% |      24-35-0 |       40.68% |          39-45-0 |          46.43% |         23 |     10.75% |            23 |             0 |          1 |     12.50% |           1 |           0 |
| Green Sun's Zenith                                           |    73 |  7.80% |         287 |           0 |   363-304-0 | 54.42% | 3588-3647-0 |  49.59% |  337-278-0 |    54.80% |    72-57-0 |    55.81% |      25-32-0 |       43.86% |          33-44-0 |          42.86% |         23 |     10.75% |            92 |             0 |          0 |        --- |           0 |           0 |
| Thundering Falls                                             |    73 |  7.80% |          76 |           0 |   281-298-0 | 48.53% | 3670-3653-0 |  50.12% |  261-278-0 |    48.42% |    43-55-0 |    43.88% |      26-22-0 |       54.17% |          30-40-0 |          42.86% |         13 |      6.07% |            13 |             0 |          0 |        --- |           0 |           0 |
