Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Savannah                                                   |    60 |  7.08% |         59 |          1 |   258-212-0 | 54.89% | 3939-3985-0 |  49.71% |  246-200-0 |    55.16% |         11 |      9.91% |            11 |             0 |
| Teferi, Time Raveler                                       |    58 |  6.84% |         56 |          3 |   168-216-0 | 43.75% | 4029-3981-0 |  50.30% |  157-205-0 |    43.37% |          4 |      3.60% |             4 |             0 |
| Grim Monolith                                              |    57 |  6.72% |         53 |          4 |   197-206-0 | 48.88% | 4000-3991-0 |  50.06% |  187-196-0 |    48.83% |          6 |      5.41% |             6 |             0 |
| Walking Ballista                                           |    57 |  6.72% |          6 |         51 |   222-220-0 | 50.23% | 3975-3977-0 |  49.99% |  212-210-0 |    50.24% |         12 |     10.81% |             1 |            11 |
| Badlands                                                   |    56 |  6.60% |         56 |          0 |   183-202-0 | 47.53% | 4014-3995-0 |  50.12% |  175-194-0 |    47.43% |          4 |      3.60% |             4 |             0 |
| Omniscience                                                |    56 |  6.60% |         55 |          3 |   229-219-0 | 51.12% | 3968-3978-0 |  49.94% |  218-208-0 |    51.17% |         10 |      9.01% |            10 |             1 |
| Duress                                                     |    55 |  6.49% |         32 |         29 |   215-187-0 | 53.48% | 3982-4010-0 |  49.82% |  207-179-0 |    53.63% |          5 |      4.50% |             3 |             3 |
| Life from the Loam                                         |    53 |  6.25% |         51 |          2 |   182-185-0 | 49.59% | 4015-4012-0 |  50.02% |  175-178-0 |    49.58% |          6 |      5.41% |             6 |             0 |
| Phelia, Exuberant Shepherd                                 |    53 |  6.25% |         53 |          0 |   192-185-0 | 50.93% | 4005-4012-0 |  49.96% |  185-178-0 |    50.96% |          6 |      5.41% |             6 |             0 |
| Scrubland                                                  |    53 |  6.25% |         53 |          0 |   206-174-0 | 54.21% | 3991-4023-0 |  49.80% |  194-162-0 |    54.49% |          8 |      7.21% |             8 |             0 |
| Collector Ouphe                                            |    52 |  6.13% |         28 |         27 |   186-190-0 | 49.47% | 4011-4007-0 |  50.02% |  177-181-0 |    49.44% |          5 |      4.50% |             4 |             1 |
| Blood Moon                                                 |    51 |  6.01% |         29 |         25 |   182-204-0 | 47.15% | 4015-3993-0 |  50.14% |  169-191-0 |    46.94% |          7 |      6.31% |             3 |             4 |
| Grist, the Hunger Tide                                     |    51 |  6.01% |         50 |          5 |   183-181-0 | 50.27% | 4014-4016-0 |  49.99% |  173-171-0 |    50.29% |          6 |      5.41% |             6 |             3 |
| Cloudpost                                                  |    50 |  5.90% |         50 |          0 |   192-190-0 | 50.26% | 4005-4007-0 |  49.99% |  188-186-0 |    50.27% |         11 |      9.91% |            11 |             0 |
| Glimmerpost                                                |    50 |  5.90% |         50 |          0 |   192-190-0 | 50.26% | 4005-4007-0 |  49.99% |  188-186-0 |    50.27% |         11 |      9.91% |            11 |             0 |
| Fury                                                       |    49 |  5.78% |         24 |         30 |   168-192-0 | 46.67% | 4029-4005-0 |  50.15% |  160-184-0 |    46.51% |          5 |      4.50% |             2 |             3 |
| Gaddock Teeg                                               |    49 |  5.78% |          4 |         47 |   193-172-0 | 52.88% | 4004-4025-0 |  49.87% |  185-164-0 |    53.01% |          5 |      4.50% |             1 |             5 |
| Harbinger of the Seas                                      |    49 |  5.78% |          1 |         48 |   169-182-0 | 48.15% | 4028-4015-0 |  50.08% |  158-171-0 |    48.02% |          7 |      6.31% |             0 |             7 |
| Dauthi Voidwalker                                          |    47 |  5.54% |         14 |         35 |   175-168-0 | 51.02% | 4022-4029-0 |  49.96% |  169-162-0 |    51.06% |          8 |      7.21% |             1 |             8 |
| Bitter Triumph                                             |    46 |  5.42% |         35 |         17 |   186-169-0 | 52.39% | 4011-4028-0 |  49.89% |  179-162-0 |    52.49% |         11 |      9.91% |             9 |             4 |
| Deafening Silence                                          |    46 |  5.42% |          0 |         46 |   188-151-0 | 55.46% | 4009-4046-0 |  49.77% |  181-144-0 |    55.69% |          6 |      5.41% |             0 |             6 |
| Dread Return                                               |    46 |  5.42% |         46 |          2 |   171-170-0 | 50.15% | 4026-4027-0 |  49.99% |  165-164-0 |    50.15% |          5 |      4.50% |             5 |             0 |
| Narcomoeba                                                 |    46 |  5.42% |         46 |          0 |   171-170-0 | 50.15% | 4026-4027-0 |  49.99% |  165-164-0 |    50.15% |          5 |      4.50% |             5 |             0 |
| Unlicensed Hearse                                          |    46 |  5.42% |          1 |         45 |   168-180-0 | 48.28% | 4029-4017-0 |  50.07% |  161-173-0 |    48.20% |          7 |      6.31% |             0 |             7 |
| Clarion Conqueror                                          |    45 |  5.31% |          4 |         42 |   159-158-0 | 50.16% | 4038-4039-0 |  49.99% |  154-153-0 |    50.16% |          6 |      5.41% |             0 |             6 |
| Manifold Key                                               |    45 |  5.31% |         45 |          0 |   141-161-0 | 46.69% | 4056-4036-0 |  50.12% |  136-156-0 |    46.58% |          3 |      2.70% |             3 |             0 |
| Mox Diamond                                                |    45 |  5.31% |         45 |          0 |   134-149-0 | 47.35% | 4063-4048-0 |  50.09% |  132-147-0 |    47.31% |          1 |      0.90% |             1 |             0 |
| Solitude                                                   |    45 |  5.31% |         45 |          1 |   199-159-0 | 55.59% | 3998-4038-0 |  49.75% |  193-153-0 |    55.78% |          9 |      8.11% |             9 |             0 |
| Toxic Deluge                                               |    45 |  5.31% |          0 |         45 |   159-161-0 | 49.69% | 4038-4036-0 |  50.01% |  154-156-0 |    49.68% |          6 |      5.41% |             0 |             6 |
| Eye of Ugin                                                |    44 |  5.19% |         44 |          0 |   164-160-0 | 50.62% | 4033-4037-0 |  49.98% |  157-153-0 |    50.65% |          5 |      4.50% |             5 |             0 |
| Portable Hole                                              |    44 |  5.19% |         33 |         37 |   141-159-0 | 47.00% | 4056-4038-0 |  50.11% |  135-153-0 |    46.88% |          3 |      2.70% |             2 |             3 |
| Tezzeret, Cruel Captain                                    |    44 |  5.19% |         44 |          0 |   140-158-0 | 46.98% | 4057-4039-0 |  50.11% |  135-153-0 |    46.88% |          3 |      2.70% |             3 |             0 |
| Urza's Workshop                                            |    44 |  5.19% |         44 |          0 |   140-158-0 | 46.98% | 4057-4039-0 |  50.11% |  135-153-0 |    46.88% |          3 |      2.70% |             3 |             0 |
| Yavimaya, Cradle of Growth                                 |    44 |  5.19% |         44 |          0 |   128-152-0 | 45.71% | 4069-4045-0 |  50.15% |  123-147-0 |    45.56% |          0 |        --- |             0 |             0 |
| Arid Mesa                                                  |    43 |  5.07% |         43 |          0 |   165-145-0 | 53.23% | 4032-4052-0 |  49.88% |  156-136-0 |    53.42% |          5 |      4.50% |             5 |             0 |
| Green Sun's Zenith                                         |    43 |  5.07% |         43 |          0 |   166-149-0 | 52.70% | 4031-4048-0 |  49.89% |  158-141-0 |    52.84% |          5 |      4.50% |             5 |             0 |
| Mistrise Village                                           |    43 |  5.07% |         41 |         17 |   173-168-0 | 50.73% | 4024-4029-0 |  49.97% |  165-160-0 |    50.77% |          7 |      6.31% |             7 |             2 |
| Mystic Forge                                               |    43 |  5.07% |         43 |         35 |   137-155-0 | 46.92% | 4060-4042-0 |  50.11% |  132-150-0 |    46.81% |          3 |      2.70% |             3 |             2 |
| Stoneforge Mystic                                          |    43 |  5.07% |         43 |          0 |   149-156-0 | 48.85% | 4048-4041-0 |  50.04% |  142-149-0 |    48.80% |          5 |      4.50% |             5 |             0 |
| Fable of the Mirror-Breaker // Reflection of Kiki-Jiki     |    42 |  4.95% |         42 |          0 |   139-162-0 | 46.18% | 4058-4035-0 |  50.14% |  131-154-0 |    45.96% |          3 |      2.70% |             3 |             0 |
| Ghost Quarter                                              |    42 |  4.95% |         40 |          2 |   118-138-0 | 46.09% | 4079-4059-0 |  50.12% |  116-136-0 |    46.03% |          1 |      0.90% |             1 |             0 |
| Plateau                                                    |    42 |  4.95% |         42 |          0 |   151-148-0 | 50.50% | 4046-4049-0 |  49.98% |  144-141-0 |    50.53% |          4 |      3.60% |             4 |             0 |
| Snuff Out                                                  |    42 |  4.95% |         17 |         30 |   163-154-0 | 51.42% | 4034-4043-0 |  49.94% |  160-151-0 |    51.45% |          7 |      6.31% |             3 |             5 |
| Cabal Ritual                                               |    41 |  4.83% |         41 |          0 |   169-141-0 | 54.52% | 4028-4056-0 |  49.83% |  161-133-0 |    54.76% |          5 |      4.50% |             5 |             0 |
| Crop Rotation                                              |    41 |  4.83% |         41 |          2 |   117-142-0 | 45.17% | 4080-4055-0 |  50.15% |  114-139-0 |    45.06% |          0 |        --- |             0 |             0 |
| Dryad Arbor                                                |    40 |  4.72% |         40 |          0 |   165-144-0 | 53.40% | 4032-4053-0 |  49.87% |  158-137-0 |    53.56% |          5 |      4.50% |             5 |             0 |
| Lavinia, Azorius Renegade                                  |    40 |  4.72% |          6 |         34 |   122-154-0 | 44.20% | 4075-4043-0 |  50.20% |  115-147-0 |    43.89% |          2 |      1.80% |             0 |             2 |
| Perilous Snare                                             |    40 |  4.72% |          0 |         40 |   129-146-0 | 46.91% | 4068-4051-0 |  50.10% |  124-141-0 |    46.79% |          3 |      2.70% |             0 |             3 |
| Malevolent Rumble                                          |    39 |  4.60% |         39 |          0 |   105-123-0 | 46.05% | 4092-4074-0 |  50.11% |  103-121-0 |    45.98% |          1 |      0.90% |             1 |             0 |
| Shadowspear                                                |    39 |  4.60% |         15 |         24 |   127-149-0 | 46.01% | 4070-4048-0 |  50.14% |  121-143-0 |    45.83% |          6 |      5.41% |             3 |             3 |
| Thought-Knot Seer                                          |    39 |  4.60% |         38 |          1 |   152-142-0 | 51.70% | 4045-4055-0 |  49.94% |  145-135-0 |    51.79% |          5 |      4.50% |             5 |             0 |
| Underground Mortuary                                       |    39 |  4.60% |         39 |          0 |   136-131-0 | 50.94% | 4061-4066-0 |  49.97% |  131-126-0 |    50.97% |          4 |      3.60% |             4 |             0 |
| Wastescape Battlemage                                      |    39 |  4.60% |         36 |         16 |   154-141-0 | 52.20% | 4043-4056-0 |  49.92% |  147-134-0 |    52.31% |          5 |      4.50% |             5 |             2 |
| Eldrazi Temple                                             |    38 |  4.48% |         38 |          0 |   149-139-0 | 51.74% | 4048-4058-0 |  49.94% |  142-132-0 |    51.82% |          5 |      4.50% |             5 |             0 |
| Kaldra Compleat                                            |    38 |  4.48% |         38 |          0 |   126-138-0 | 47.73% | 4071-4059-0 |  50.07% |  121-133-0 |    47.64% |          4 |      3.60% |             4 |             0 |
| Quantum Riddler                                            |    38 |  4.48% |         38 |          2 |   129-135-0 | 48.86% | 4068-4062-0 |  50.04% |  125-131-0 |    48.83% |          5 |      4.50% |             5 |             0 |
| Snapcaster Mage                                            |    38 |  4.48% |         37 |          1 |   118-136-0 | 46.46% | 4079-4061-0 |  50.11% |  113-131-0 |    46.31% |          2 |      1.80% |             2 |             0 |
| Uro, Titan of Nature's Wrath                               |    38 |  4.48% |         36 |          4 |   138-142-0 | 49.29% | 4059-4055-0 |  50.02% |  131-135-0 |    49.25% |          6 |      5.41% |             6 |             0 |
| Wooded Foothills                                           |    38 |  4.48% |         38 |          0 |   127-141-0 | 47.39% | 4070-4056-0 |  50.09% |  118-132-0 |    47.20% |          4 |      3.60% |             4 |             0 |
| Eldrazi Linebreaker                                        |    37 |  4.36% |         37 |          0 |   147-135-0 | 52.13% | 4050-4062-0 |  49.93% |  140-128-0 |    52.24% |          5 |      4.50% |             5 |             0 |
| Reality Smasher                                            |    37 |  4.36% |         37 |          0 |   147-135-0 | 52.13% | 4050-4062-0 |  49.93% |  140-128-0 |    52.24% |          5 |      4.50% |             5 |             0 |
| Stony Silence                                              |    37 |  4.36% |          0 |         37 |   107-119-0 | 47.35% | 4090-4078-0 |  50.07% |  100-112-0 |    47.17% |          2 |      1.80% |             0 |             2 |
| Back to Basics                                             |    36 |  4.25% |         29 |         15 |    91-136-0 | 40.09% | 4106-4061-0 |  50.28% |   87-132-0 |    39.73% |          1 |      0.90% |             0 |             1 |
| Broadside Bombardiers                                      |    36 |  4.25% |         36 |          0 |   111-135-0 | 45.12% | 4086-4062-0 |  50.15% |  108-132-0 |    45.00% |          2 |      1.80% |             2 |             0 |
| Candelabra of Tawnos                                       |    36 |  4.25% |         36 |          0 |   117-131-0 | 47.18% | 4080-4066-0 |  50.09% |  115-129-0 |    47.13% |          3 |      2.70% |             3 |             0 |
| Forth Eorlingas!                                           |    36 |  4.25% |         33 |          4 |   114-128-0 | 47.11% | 4083-4069-0 |  50.09% |  113-127-0 |    47.08% |          2 |      1.80% |             2 |             0 |
| Moonsnare Prototype                                        |    36 |  4.25% |          0 |         36 |   159-137-0 | 53.72% | 4038-4060-0 |  49.86% |  156-134-0 |    53.79% |         11 |      9.91% |             0 |            11 |
| Tendrils of Agony                                          |    36 |  4.25% |         36 |         24 |   126-131-0 | 49.03% | 4071-4066-0 |  50.03% |  121-126-0 |    48.99% |          4 |      3.60% |             4 |             3 |
| Voltaic Key                                                |    36 |  4.25% |         36 |          0 |   115-130-0 | 46.94% | 4082-4067-0 |  50.09% |  110-125-0 |    46.81% |          3 |      2.70% |             3 |             0 |
| Beseech the Mirror                                         |    35 |  4.13% |         35 |         25 |   123-128-0 | 49.00% | 4074-4069-0 |  50.03% |  118-123-0 |    48.96% |          4 |      3.60% |             4 |             3 |
| Expedition Map                                             |    35 |  4.13% |         35 |          0 |    97-121-0 | 44.50% | 4100-4076-0 |  50.15% |   96-120-0 |    44.44% |          0 |        --- |             0 |             0 |
| Gaea's Will                                                |    35 |  4.13% |         35 |          0 |   123-128-0 | 49.00% | 4074-4069-0 |  50.03% |  118-123-0 |    48.96% |          4 |      3.60% |             4 |             0 |
| Hullbreacher                                               |    35 |  4.13% |          8 |         28 |   132-127-0 | 50.97% | 4065-4070-0 |  49.97% |  129-124-0 |    50.99% |          8 |      7.21% |             0 |             8 |
