Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Ugin, Eye of the Storms                                    |    88 | 10.38% |         84 |          5 |   313-324-0 | 49.14% | 3884-3873-0 |  50.07% |  297-308-0 |    49.09% |         13 |     11.71% |            13 |             0 |
| Lavaspur Boots                                             |    87 | 10.26% |         86 |          1 |   287-316-0 | 47.60% | 3910-3881-0 |  50.19% |  264-293-0 |    47.40% |          8 |      7.21% |             8 |             0 |
| Veil of Summer                                             |    87 | 10.26% |         51 |         50 |   298-327-0 | 47.68% | 3899-3870-0 |  50.19% |  270-299-0 |    47.45% |         10 |      9.01% |             7 |             5 |
| Leyline of the Void                                        |    86 | 10.14% |          1 |         85 |   255-308-0 | 45.29% | 3942-3889-0 |  50.34% |  228-281-0 |    44.79% |          4 |      3.60% |             0 |             4 |
| Simian Spirit Guide                                        |    86 | 10.14% |         86 |          0 |   319-331-0 | 49.08% | 3878-3866-0 |  50.08% |  294-306-0 |    49.00% |         10 |      9.01% |            10 |             0 |
| Preordain                                                  |    84 |  9.91% |         84 |          0 |   308-303-0 | 50.41% | 3889-3894-0 |  49.97% |  279-274-0 |    50.45% |         10 |      9.01% |            10 |             0 |
| Sink into Stupor // Soporific Springs                      |    83 |  9.79% |         83 |          1 |   333-314-0 | 51.47% | 3864-3883-0 |  49.88% |  303-284-0 |    51.62% |         19 |     17.12% |            19 |             0 |
| Blue Elemental Blast                                       |    82 |  9.67% |          0 |         82 |   293-306-0 | 48.91% | 3904-3891-0 |  50.08% |  263-276-0 |    48.79% |         11 |      9.91% |             0 |            11 |
| Wrath of the Skies                                         |    82 |  9.67% |          6 |         80 |   266-296-0 | 47.33% | 3931-3901-0 |  50.19% |  247-277-0 |    47.14% |         10 |      9.01% |             0 |            10 |
| Glaring Fleshraker                                         |    80 |  9.43% |         80 |          0 |   284-290-0 | 49.48% | 3913-3907-0 |  50.04% |  266-272-0 |    49.44% |          8 |      7.21% |             8 |             0 |
