Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Leyline Binding	1	0.013889	4-3-0	0.571429	4	0
Leyline of Sanctity	1	0.013889	4-3-0	0.571429	0	4
Liliana, the Last Hope	1	0.013889	0-2-1	0.166667	1	0
Lion Sash	1	0.013889	6-1-2	0.777778	1	0
Lively Dirge	1	0.013889	4-3-0	0.571429	1	0
Llanowar Elves	1	0.013889	2-2-0	0.500000	1	0
Long Goodbye	1	0.013889	1-3-0	0.250000	0	1
Massacre	1	0.013889	5-2-0	0.714286	0	1
Mawloc	1	0.013889	3-4-0	0.428571	1	0
Melded Moxite	1	0.013889	3-3-0	0.500000	2	0
Merchant Scroll	1	0.013889	4-3-0	0.571429	4	0
Mind's Desire	1	0.013889	4-3-0	0.571429	4	0
Mindbreak Trap	1	0.013889	3-4-0	0.428571	0	2
Minor Misstep	1	0.013889	1-5-0	0.166667	1	0
Mistblade Shinobi	1	0.013889	2-3-0	0.400000	2	0
Mistrise Village	1	0.013889	1-4-0	0.200000	0	1
Murderous Cut	1	0.013889	2-3-0	0.400000	1	0
Narset, Parter of Veils	1	0.013889	1-5-0	0.166667	1	1
Necromancy	1	0.013889	3-4-0	0.428571	2	0
Nettle Sentinel	1	0.013889	2-2-0	0.500000	4	0
Omniscience	1	0.013889	1-4-0	0.200000	2	0
Opposition Agent	1	0.013889	4-3-0	0.571429	0	1
Ornithopter	1	0.013889	2-3-0	0.400000	3	0
Outland Liberator // Frenzied Trapbreaker	1	0.013889	0-2-0	0.000000	0	1
Paradoxical Outcome	1	0.013889	5-1-2	0.750000	4	0
Pernicious Deed	1	0.013889	4-3-0	0.571429	0	3
Personal Tutor	1	0.013889	1-3-0	0.250000	3	0
Peter Parker's Camera	1	0.013889	3-3-0	0.500000	1	0
Phantom Blade	1	0.013889	6-1-2	0.777778	1	0
Phlage, Titan of Fire's Fury	1	0.013889	3-4-0	0.428571	1	0
Pinnacle Emissary	1	0.013889	3-3-0	0.500000	4	0
Plagon, Lord of the Beach	1	0.013889	5-1-2	0.750000	2	0
Pre-War Formalwear	1	0.013889	6-1-2	0.777778	1	0
Profit // Loss	1	0.013889	2-3-0	0.400000	0	1
Punishing Fire	1	0.013889	3-3-0	0.500000	3	0
Pyroclasm	1	0.013889	6-2-0	0.750000	0	1
Pyrokinesis	1	0.013889	5-2-0	0.714286	0	1
Raucous Theater	1	0.013889	3-3-0	0.500000	1	0
Reclamation Sage	1	0.013889	4-3-0	0.571429	0	1
Recruiter of the Guard	1	0.013889	6-1-2	0.777778	4	0
Roiling Dragonstorm	1	0.013889	3-4-0	0.428571	2	0
Rough // Tumble	1	0.013889	3-4-0	0.428571	0	1
Sai of the Shinobi	1	0.013889	2-3-0	0.400000	1	0
Sakashima's Student	1	0.013889	2-3-0	0.400000	1	0
Sanctifier en-Vec	1	0.013889	1-5-0	0.166667	0	1
Seasoned Dungeoneer	1	0.013889	2-3-0	0.400000	4	0
Seat of the Synod	1	0.013889	3-3-0	0.500000	4	0
Shaman en-Kor	1	0.013889	4-3-0	0.571429	1	0
Silent Clearing	1	0.013889	0-2-0	0.000000	1	0
Skyclave Apparition	1	0.013889	6-1-2	0.777778	3	0
Snap	1	0.013889	4-3-0	0.571429	2	1
Snapcaster Mage	1	0.013889	0-2-1	0.166667	1	1
Sneak Attack	1	0.013889	1-4-0	0.200000	4	0
Snow-Covered Forest	1	0.013889	0-3-0	0.000000	1	0
Snow-Covered Island	1	0.013889	5-2-0	0.714286	1	0
Snow-Covered Plains	1	0.013889	5-2-0	0.714286	1	0
Snow-Covered Swamp	1	0.013889	5-2-0	0.714286	1	0
Spell Pierce	1	0.013889	5-2-0	0.714286	3	0
Spellstutter Sprite	1	0.013889	2-3-0	0.400000	4	0
Spire of Industry	1	0.013889	5-1-2	0.750000	2	0
Springheart Nantuko	1	0.013889	4-3-0	0.571429	1	0
Staff of the Storyteller	1	0.013889	0-2-0	0.000000	1	0
