Card Statistics over 73 Decks (DMV Legacy League Invitational (2025-11-09))
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |  Record  | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |   With   |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
| Duress                                                  |     3 |  4.17% |   6-10-0 | 37.50% |           0 |           8 |
| Elegant Parlor                                          |     3 |  4.17% |    3-8-0 | 27.27% |           3 |           0 |
| Emrakul, the Aeons Torn                                 |     3 |  4.17% |   1-10-0 |  9.09% |           5 |           0 |
| Flusterstorm                                            |     3 |  4.17% |   3-10-0 | 23.08% |           4 |           1 |
| Gaea's Cradle                                           |     3 |  4.17% |   11-7-0 | 61.11% |          10 |           0 |
| Goblin Engineer                                         |     3 |  4.17% |    8-8-0 | 50.00% |          12 |           0 |
| Goblin Welder                                           |     3 |  4.17% |    8-8-0 | 50.00% |          12 |           0 |
| Great Furnace                                           |     3 |  4.17% |    8-8-0 | 50.00% |           6 |           0 |
| Griselbrand                                             |     3 |  4.17% |   5-11-0 | 31.25% |           6 |           0 |
| Kaito, Bane of Nightmares                               |     3 |  4.17% |    7-7-1 | 50.00% |           4 |           1 |
| Lórien Revealed                                         |     3 |  4.17% |    8-8-1 | 50.00% |           9 |           0 |
| Mystic Sanctuary                                        |     3 |  4.17% |   10-9-0 | 52.63% |           3 |           0 |
| Pact of Negation                                        |     3 |  4.17% |    8-9-0 | 47.06% |           8 |           1 |
| Phelia, Exuberant Shepherd                              |     3 |  4.17% |   12-8-2 | 59.09% |          11 |           0 |
| Phyrexian Devourer                                      |     3 |  4.17% |    8-8-0 | 50.00% |           3 |           0 |
| Phyrexian Dragon Engine                                 |     3 |  4.17% |    8-8-0 | 50.00% |           3 |           0 |
| Phyrexian Dreadnought                                   |     3 |  4.17% |   10-7-0 | 58.82% |           9 |           0 |
| Plague Engineer                                         |     3 |  4.17% |   10-9-0 | 52.63% |           0 |           4 |
| Plateau                                                 |     3 |  4.17% |    3-8-0 | 27.27% |           6 |           0 |
| Pyrogoyf                                                |     3 |  4.17% |    7-8-0 | 46.67% |          10 |           0 |
| Serenity                                                |     3 |  4.17% |    8-8-1 | 50.00% |           0 |           3 |
| Shatterskull Smashing // Shatterskull, the Hammer Pass  |     3 |  4.17% |    8-9-1 | 47.22% |           7 |           0 |
| Sheoldred's Edict                                       |     3 |  4.17% |    4-7-1 | 37.50% |           1 |           2 |
| Sink into Stupor // Soporific Springs                   |     3 |  4.17% |    8-7-2 | 52.94% |          12 |           0 |
| Unholy Heat                                             |     3 |  4.17% |   10-9-1 | 52.50% |           4 |           2 |
| Walking Ballista                                        |     3 |  4.17% |    5-8-0 | 38.46% |           2 |           2 |
| Witch Enchanter // Witch-Blessed Meadow                 |     3 |  4.17% |   15-5-2 | 72.73% |           7 |           0 |
| Allosaurus Shepherd                                     |     2 |  2.78% |    6-5-0 | 54.55% |           6 |           0 |
| Baleful Strix                                           |     2 |  2.78% |    2-5-1 | 31.25% |           6 |           0 |
| Balustrade Spy                                          |     2 |  2.78% |    4-6-0 | 40.00% |           8 |           0 |
| Basalt Monolith                                         |     2 |  2.78% |    7-6-0 | 53.85% |           2 |           0 |
| Bonecrusher Giant // Stomp                              |     2 |  2.78% |   11-4-1 | 71.88% |           0 |           2 |
| Bridge from Below                                       |     2 |  2.78% |    4-6-0 | 40.00% |           2 |           0 |
| Cabal Ritual                                            |     2 |  2.78% |    5-6-0 | 45.45% |           4 |           0 |
